Company name,Company ISIN,Headquarters,Region,Industry,Total score (max. 20),Human Rights (max. 10),Decent Work (max. 6),Ethical Conduct (max. 4),Transformation / Benchmark,Research period,Engagement Status ,UNGC Membership,Business Roundtable Membership,Food and Agriculture,Decarbonisation and Energy,Digital Inclusion,Nature and Biodiverisity,Urban,Finance,Gender,CHRB,Access to Seeds,Seafood Stewardship Index
Anheuser-Busch InBev,BE0974293251,Belgium,Europe & Central Asia,Food & Beverage,10.5,8,1.5,1,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,Yes,,Yes,,,Yes,,,,Yes,,
Anhui Jianghuai Automobile Group,CNE0000018M9,China,East Asia & Pacific,Automotive,0,0,0,0,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,,,,Yes,,,,,,Yes,,
Ant,,China,East Asia & Pacific,Consumer Finance,3,2,0.5,0.5,Digital Inclusion,30/09/2018 - 30/09/2021,Yes,,,,,Yes,,,,,,,
Apache Corporation,US0374111054,United States of America,North America,Oil and Gas,6,3.5,1.5,1,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,,,,Yes,,,,,,,,
Apple,US0378331005,United States of America,North America,Hardware,12,7.5,2.5,2,Digital Inclusion,30/09/2018 - 30/09/2021,Yes,,Yes,,,Yes,Yes,,,,Yes,,
Aramark,US03852U1060,United States of America,North America,Retail,3,1.5,1,0.5,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,,,Yes,,,Yes,,,,,,
Arca Continental,MX01AC100006,Mexico,Latin America & Caribbean,Food & Beverage,4.5,2,1,1.5,Food and Agriculture,31/05/2018 - 31/05/2021,,Yes,,Yes,,,,,,,,,
Archer Daniels Midland (ADM),US0394831020,United States of America,North America,Agricultural Products,11.5,8.5,1,2,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,Yes,Yes,Yes,,,Yes,,,,Yes,,
Arla Foods',,Denmark,Europe & Central Asia,Food & Beverage,12,8,2,2,Food and Agriculture,31/05/2018 - 31/05/2021,,Yes,,Yes,,,,,,,,,
Asahi Group,JP3116000005,Japan,East Asia & Pacific,Food & Beverage,12,8,2,2,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,Yes,,Yes,,,Yes,,,,Yes,,
Associated British Foods (Primark),GB0006731235,United Kingdom,Europe & Central Asia,Food & Beverage,10.5,6.5,2,2,Food and Agriculture,31/05/2018 - 31/05/2021,Yes - CHRB,,,Yes,,,Yes,,,,Yes,,
Astra Agro Lestari,ID1000066004,Indonesia,East Asia & Pacific,Agricultural Products,3,3,0,0,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Asus,TW0002357001,"Taiwan, China",East Asia & Pacific,Hardware,4,2,1,1,Digital Inclusion,30/09/2018 - 30/09/2021,,,,,,Yes,Yes,,,,,,
AT&T,US00206R1023,United States of America,North America,Telecommunication Services,4.5,1.5,2,1,Digital Inclusion,30/09/2018 - 30/09/2021,Yes,Yes,Yes,,,Yes,,,,,,,
Auchan,,France,Europe & Central Asia,Retail,2,1.5,0.5,0,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,Yes,,Yes,,,Yes,,,,,,
Aurora Alimentos,,Brazil,Latin America & Caribbean,Food & Beverage,0,0,0,0,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Austevoll Seafood,NO0010073489,Norway,Europe & Central Asia,Food & Beverage,4,1.5,1.5,1,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,Yes,,Yes,,,Yes,,,,,,Yes
Autogrill,IT0001137345,Italy,Europe & Central Asia,Retail,5,1.5,1.5,2,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Avril Group,,France,Europe & Central Asia,Agricultural Products,6.5,4,1,1.5,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,Yes,,Yes,,,Yes,,,,,,
Axiata,MYL6888OO001,Malaysia,East Asia & Pacific,Telecommunication Services,6,2.5,1.5,2,Digital Inclusion,30/09/2018 - 30/09/2021,Yes,Yes,,,,Yes,,,,,,,
B&G Foods,US05508R1068,United States of America,North America,Food & Beverage,7.5,4,1.5,2,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Bachoco,MX01BA1D0003,Mexico,Latin America & Caribbean,Food & Beverage,3,2,0,1,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,,,Yes,,,Yes,,,,,,
Baidu,US0567521085,China,East Asia & Pacific,Internet Media & Services,6.5,3.5,1.5,1.5,Digital Inclusion,30/09/2018 - 30/09/2021,Yes,Yes,,,,Yes,,,,,,,
Bajaj Hindusthan Sugar,INE306A01021,India,South Asia,Agricultural Products,2,1.5,0,0.5,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Barilla,,Italy,Europe & Central Asia,Food & Beverage,5,2,1.5,1.5,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Barry Callebaut,CH0009002962,Switzerland,Europe & Central Asia,Food & Beverage,7.5,4,1.5,2,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
BASF,DE000BASF111,Germany,Europe & Central Asia,Chemicals,10.5,6.5,1,3,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,Yes,,Yes,,,Yes,,,,,Yes,
Basra Oil Company (BOC),,Iraq,Middle East & North Africa,Oil and Gas,0,0,0,0,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,,,,Yes,,,,,,,,
Bayer,DE000BAY0017,Germany,Europe & Central Asia,Chemicals,10,4,3,3,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,Yes,,Yes,,,Yes,,,,,Yes,
BayWa,DE0005194062,Germany,Europe & Central Asia,Agricultural Products,7,4,1.5,1.5,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,Yes,,Yes,,,Yes,,,,,,
BCE,CA05534B7604,Canada,North America,Telecommunication Services,6.5,3,2.5,1,Digital Inclusion,30/09/2018 - 30/09/2021,Yes,Yes,,,,Yes,,,,,,,
Beidahuang Group,CNE0000019Z9,China,East Asia & Pacific,Agricultural Products,0,0,0,0,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Beijing Automotive Group (BAIC),CNE100001TJ4,China,East Asia & Pacific,Automotive,2,0,1.5,0.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,,,,Yes,,,,,,Yes,,
BETAGRO,,Thailand,East Asia & Pacific,Agricultural Products,0,0,0,0,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Bharat Petroleum Corporation,INE029A01011,India,South Asia,Oil and Gas,4,2,1.5,0.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,Yes,,,,Yes,,,,,,,,
Bharti Airtel Limited,INE397D01024,India,South Asia,Telecommunication Services,11,7,2,2,Digital Inclusion,30/09/2018 - 30/09/2021,Yes,Yes,,,,Yes,,,,,,,
BHP Group,AU000000BHP4,Australia,East Asia & Pacific,Oil and Gas,13.5,7.5,3,3,Decarbonisation and Energy,31/08/2018 - 31/08/2021,Yes,Yes,,,Yes,,Yes,,,,Yes,,
Bidcorp,,South Africa,Sub-Saharan Africa,Retail,3.5,2,0.5,1,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Bloomin' Brands,US0942351083,United States of America,North America,Retail,2,1,0,1,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Blue Diamond Growers,,United States of America,North America,Food & Beverage,1,0,0,1,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
BMW,DE0005190003,Germany,Europe & Central Asia,Automotive,8.5,5,2,1.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,Yes,Yes,,,Yes,,,,,,Yes,,
BONDUELLE,,France,Europe & Central Asia,Food & Beverage,7,3.5,1.5,2,Food and Agriculture,31/05/2018 - 31/05/2021,,Yes,,Yes,,,Yes,,,,,,
BOOKING HOLDINGS,US09857L1089,United States of America,North America,Internet Media & Services,7,4.5,1.5,1,Digital Inclusion,30/09/2018 - 30/09/2021,,,Yes,,,Yes,,Yes,,,,,
Boparan Holdings (2 Sisters Food Group),,United Kingdom,Europe & Central Asia,Food & Beverage,5.5,2,2,1.5,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,,,Yes,,,Yes,,,,,,
BP,GB0007980591,United Kingdom,Europe & Central Asia,Oil and Gas,13,9,1.5,2.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,Yes,Yes,,,Yes,,Yes,,,,Yes,,
BRF,BRBRFSACNOR8,Brazil,Latin America & Caribbean,Food & Beverage,7.5,3.5,2,2,Food and Agriculture,31/05/2018 - 31/05/2021,,Yes,,Yes,,,Yes,,,,Yes,,
Bright Food Group,,China,East Asia & Pacific,Food & Beverage,0,0,0,0,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,Yes
Broadcom,US11135F1012,United States of America,North America,Semiconductors,9,6,1.5,1.5,Digital Inclusion,30/09/2018 - 30/09/2021,,,,,,Yes,Yes,,,,Yes,,
BT,GB0030913577,United Kingdom,Europe & Central Asia,Telecommunication Services,10,6,2,2,Digital Inclusion,30/09/2018 - 30/09/2021,Yes,Yes,,,,Yes,,,,,,,
Bunge,BMG169621056,United States of America,North America,Agricultural Products,6,4,1,1,Food and Agriculture,31/05/2018 - 31/05/2021,,Yes,,Yes,,,Yes,,,,,,
BYD,CNE100001526,China,East Asia & Pacific,Automotive,1.5,0,1,0.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,,,,Yes,,Yes,,,,Yes,,
ByteDance,,China,East Asia & Pacific,Internet Media & Services,2.5,1,0.5,1,Digital Inclusion,30/09/2018 - 30/09/2021,,,,,,Yes,,,,,,,
C&S Wholesale Grocers,,United States of America,North America,Retail,0,0,0,0,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Calavo Growers,US1282461052,United States of America,North America,Food & Beverage,4.5,2.5,0.5,1.5,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
California Resources Corporation,US13057Q3056,United States of America,North America,Oil and Gas,3,0,1.5,1.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,Yes,,,,Yes,,,,,,,,
Campbell's,US1344291091,United States of America,North America,Food & Beverage,7.5,3.5,1.5,2.5,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Canadian Natural Resources,CA1363851017,Canada,North America,Oil and Gas,6,4,1,1,Decarbonisation and Energy,31/08/2018 - 31/08/2021,Yes,,,,Yes,,Yes,,,,Yes,,
Cargill,,United States of America,North America,Agricultural Products,7,4,1,2,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,Yes,,Yes,,,Yes,,,,,,Yes
Carlsberg,DK0010181759,Denmark,Europe & Central Asia,Food & Beverage,6.5,3,2,1.5,Food and Agriculture,31/05/2018 - 31/05/2021,Yes - CHRB,Yes,,Yes,,,Yes,,,,Yes,,
Carozzi,CL0000007949,Chile,Latin America & Caribbean,Food & Beverage,0,0,0,0,Food and Agriculture,31/05/2018 - 31/05/2021,,Yes,,Yes,,,Yes,,,,,,
Carrefour,FR0000120172,France,Europe & Central Asia,Retail,12.5,7.5,2.5,2.5,Food and Agriculture,31/05/2018 - 31/05/2021,,Yes,,Yes,,,Yes,,,,Yes,,
Cencosud,CL0000000100,Chile,Latin America & Caribbean,Retail,6,4,1.5,0.5,Food and Agriculture,31/05/2018 - 31/05/2021,,Yes,,Yes,,,Yes,,,,,,
Cenovus Energy,CA15135U1093,Canada,North America,Oil and Gas,6.5,3,1.5,2,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,,,,Yes,,Yes,,,,,,
Central Group,,Thailand,East Asia & Pacific,Retail,6,3,1,2,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,,,,,,,
CEZ Group,CZ0005112300,Czech Republic,Europe & Central Asia,Electric Utilities,8.5,4,2.5,2,Decarbonisation and Energy,31/08/2018 - 31/08/2021,Yes,,,,Yes,,,Yes,,,,,
CF Industries,US1252691001,United States of America,North America,Agricultural Products,7,3.5,2,1.5,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,Yes,Yes,Yes,,,Yes,,,,,,
Changan Automobile,CNE000000R36,China,East Asia & Pacific,Automotive,0,0,0,0,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,,,,Yes,,,,,,Yes,,
Charoen Pokphand Group,TH0101A10Z01,Thailand,East Asia & Pacific,Agricultural Products,10,7,1,2,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,Yes,,Yes,,,Yes,,,,,,Yes
Chesapeake Energy Corp,US1651677437,United States of America,North America,Oil and Gas,5.5,3,1,1.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,,,,Yes,,,,,,,,
Chevron Corporation,US1667641005,United States of America,North America,Oil and Gas,9,5.5,1.5,2,Decarbonisation and Energy,31/08/2018 - 31/08/2021,Yes - CHRB,,Yes,,Yes,,,,,,Yes,,
China Datang Corp,,China,East Asia & Pacific,Electric Utilities,0,0,0,0,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,Yes,,,Yes,,,Yes,,,,,
China Energy Investment Group (CHN Energy),CA92143B1004,China,East Asia & Pacific,Electric Utilities,0,0,0,0,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,,,,Yes,,,,,,,,
China FAW Group (FAW Car Company),CNE000000R85,China,East Asia & Pacific,Automotive,0,0,0,0,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,,,,Yes,,,,,,Yes,,
China Huadian Corporation,CNE000001LJ2,China,East Asia & Pacific,Electric Utilities,0,0,0,0,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,Yes,,,Yes,,,Yes,,,,,
China Huaneng Group,KYG2116D1198,China,East Asia & Pacific,Electric Utilities,1,0,1,0,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,,,,Yes,,Yes,Yes,,,,,
China Mengniu Dairy,KYG210961051,China,East Asia & Pacific,Food & Beverage,2,1,0,1,Food and Agriculture,31/05/2018 - 31/05/2021,,Yes,,Yes,,,Yes,,,,,,
China Mobile,HK0941009539,China,East Asia & Pacific,Telecommunication Services,1,0,0.5,0.5,Digital Inclusion,30/09/2018 - 30/09/2021,,Yes,,,,Yes,,,,,,,
China National Offshore Oil Corporation (CNOOC Group),HK0883013259,China,East Asia & Pacific,Oil and Gas,4.5,3,1,0.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,Yes,,,Yes,,,,,,Yes,,
China National Petroleum Corporation (CNPC),,China,East Asia & Pacific,Oil and Gas,2.5,0,1.5,1,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,,,,Yes,,,,,,,,
China Petroleum and Chemical Corporation Limited (Sinopec),CNE0000018G1,China,East Asia & Pacific,Oil and Gas,0.5,0,0.5,0,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,Yes,,,Yes,,Yes,,,,Yes,,
"China Resources Holdings (CR Vanguard, China Resources Cement Holdings, China Resources Land, China Resources Pharmaceutical Group)",,China,East Asia & Pacific,Conglomerates,1,0,0,1,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,,,,,,,
China Satellite,,China,East Asia & Pacific,Telecommunication Services,0,0,0,0,Digital Inclusion,30/09/2018 - 30/09/2021,,,,,,Yes,,,,,,,
China Telecom,CNE1000002V2,China,East Asia & Pacific,Telecommunication Services,2,0,1,1,Digital Inclusion,30/09/2018 - 30/09/2021,,,,,,Yes,,,,,,,
China Three Gorges,CNE000001G87,China,East Asia & Pacific,Electric Utilities,0,0,0,0,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,,,,Yes,,,Yes,,,,,
China Unicom,HK0000049939,China,East Asia & Pacific,Telecommunication Services,2.5,1,1,0.5,Digital Inclusion,30/09/2018 - 30/09/2021,,Yes,,,,Yes,,,,,,,
Chipotle Mexican Grill,US1696561059,United States of America,North America,Retail,6,2.5,1.5,2,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,,Yes,Yes,,,Yes,,,,,,
CHS,US12542R2094,United States of America,North America,Agricultural Products,4.5,2,0.5,2,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Chubu Electric Power,JP3526600006,Japan,East Asia & Pacific,Electric Utilities,3,1.5,1,0.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,Yes,,,,Yes,,,Yes,,,,,
Chugoku Electric Power Company,JP3522200009,Japan,East Asia & Pacific,Electric Utilities,2.5,1,1.5,0,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,,,,Yes,,,Yes,,,,,
Chunghwa Telecom,TW0002412004,"Taiwan, China",East Asia & Pacific,Telecommunication Services,11.5,8,2,1.5,Digital Inclusion,30/09/2018 - 30/09/2021,,,,,,Yes,,,,,,,
CISCO,US17275R1023,United States of America,North America,Hardware,12,9,1.5,1.5,Digital Inclusion,30/09/2018 - 30/09/2021,Yes,Yes,Yes,,,Yes,Yes,Yes,,,Yes,,
Citrix,US1773761002,United States of America,North America,Software & IT Services,5,2,1.5,1.5,Digital Inclusion,30/09/2018 - 30/09/2021,,Yes,,,,Yes,,,,,,,
Citrosuco,,Brazil,Latin America & Caribbean,Agricultural Products,2.5,0,1.5,1,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Claas,,Germany,Europe & Central Asia,Heavy Machinery & Electrical Equipment,1,0,0,1,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Cloudflare,US18915M1071,United States of America,North America,Software & IT Services,2.5,0,2,0.5,Digital Inclusion,30/09/2018 - 30/09/2021,,Yes,,,,Yes,,,,,,,
CLP Holdings,HK0002007356,"Hong Kong, China",East Asia & Pacific,Electric Utilities,8.5,4,2,2.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,,,,Yes,,,Yes,,,,,
CNH,NL0010545661,Netherlands,Europe & Central Asia,Heavy Machinery & Electrical Equipment,9,4,2,3,Food and Agriculture,31/05/2018 - 31/05/2021,,Yes,,Yes,,,Yes,,,,,,
Coamo Agroindustrial Cooperativa,,Brazil,Latin America & Caribbean,Agricultural Products,0,0,0,0,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Coca-Cola Company,US1912161007,United States of America,North America,Food & Beverage,13.5,9.5,2,2,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,Yes,Yes,Yes,,,Yes,,,,Yes,,
COFCO,,China,East Asia & Pacific,Agricultural Products,0.5,0,0,0.5,Food and Agriculture,31/05/2018 - 31/05/2021,,Yes,,Yes,,,Yes,,,,,,
Cogent,US19239V3024,United States of America,North America,Telecommunication Services,2,0.5,1,0.5,Digital Inclusion,30/09/2018 - 30/09/2021,,,,,,Yes,,,,,,,
Coles Group,AU0000030678,Australia,East Asia & Pacific,Retail,15,10,2.5,2.5,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,,,Yes,,,Yes,,,,Yes,,
Colruyt,BE0974256852,Belgium,Europe & Central Asia,Retail,3,0.5,1,1.5,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,Yes,,Yes,,,Yes,,,,,,
Comcast,US20030N1019,United States of America,North America,Telecommunication Services,6,3,1.5,1.5,Digital Inclusion,30/09/2018 - 30/09/2021,Yes,,Yes,,,Yes,,,,,,,
Comision Federal de Electricidad (CFE),,Mexico,Latin America & Caribbean,Electric Utilities,0,0,0,0,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,,,,Yes,,,Yes,,,,,
Compania Espanola de Petroleos SAU (CEPSA),ES0132580319,Spain,Europe & Central Asia,Oil and Gas,9,4.5,2,2.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,Yes,,,Yes,,,,,,,,
Compass Group,GB00BD6K4575,United Kingdom,Europe & Central Asia,Retail,9,5,2,2,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,Yes,,Yes,,,Yes,,,,Yes,,
Conad,,Italy,Europe & Central Asia,Food & Beverage,0,0,0,0,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Conagra Brands,US2058871029,United States of America,North America,Food & Beverage,4.5,2,2,0.5,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,Yes,,
ConocoPhillips,US20825C1045,United States of America,North America,Oil and Gas,9.5,6,1.5,2,Decarbonisation and Energy,31/08/2018 - 31/08/2021,Yes - CHRB,,Yes,,Yes,,Yes,,,,Yes,,
Constellation Brands,US21036P1084,United States of America,North America,Food & Beverage,4,1,1.5,1.5,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,Yes,,
Cooke,,United States of America,North America,Food & Beverage,0,0,0,0,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,Yes
COOP Group,,Switzerland,Europe & Central Asia,Retail,3,0,1.5,1.5,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Coöperatie Coforta,,Netherlands,Europe & Central Asia,Food & Beverage,0,0,0,0,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,,,,,,,
Copersucar,,Brazil,Latin America & Caribbean,Agricultural Products,6.5,2.5,2.5,1.5,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
